applicant_id,start_date,education,prior_years,readiness,persist_days
A0001,2025-11-15,전문학사,2.6,0.449,94.0
A0002,2025-09-20,비전공 부트캠프,4.5,0.312,61.0
A0003,2025-11-08,학사,2.0,0.343,144.0
A0004,2025-05-15,학사,2.7,0.764,45.0
A0005,2025-04-28,,3.0,0.63,145.0
A0006,2025-03-06,석사,1.0,0.541,72.0
A0007,2025-05-19,학사,3.9,0.245,69.0
A0008,2025-03-03,학사,0.0,0.59,182.0
A0009,2025-03-19,석사,0.3,0.399,130.0
A0010,2025-06-11,학사,3.7,0.528,54.0
A0011,2025-05-10,학사,2.0,0.493,149.0
A0012,2025-10-20,학사,1.5,0.833,179.0
A0013,2025-09-07,학사,1.7,0.695,150.0
A0014,2025-10-21,학사,0.2,0.329,57.0
A0015,2025-06-27,석사,1.3,0.66,62.0
A0016,2025-01-01,비전공 부트캠프,4.3,0.691,154.0
A0017,2025-04-12,석사,3.1,0.252,59.0
A0018,2025-08-31,학사,4.8,0.512,41.0
A0019,2025-06-01,비전공 부트캠프,1.5,0.452,37.0
A0020,2025-05-04,학사,4.4,0.427,175.0
A0021,2025-07-02,비전공 부트캠프,1.3,0.461,64.0
A0022,2025-05-11,비전공 부트캠프,0.2,0.445,140.0
A0023,2025-01-10,,1.5,0.651,114.0
A0024,2025-06-10,석사,1.6,0.614,202.0
A0025,2025-09-17,학사,1.9,0.489,67.0
A0026,2025-08-23,학사,1.6,0.445,179.0
A0027,2025-05-30,학사,7.4,0.456,170.0
A0028,2025-10-26,석사,7.2,0.806,74.0
A0029,2025-04-19,학사,0.6,0.659,96.0
A0030,2025-09-24,학사,1.1,0.405,127.0
A0031,2025-10-08,학사,5.2,0.663,51.0
A0032,2025-04-27,학사,3.4,0.52,82.0
A0033,2025-07-06,학사,1.9,0.363,178.0
A0034,2025-03-02,비전공 부트캠프,8.1,0.452,115.0
A0035,2025-10-26,비전공 부트캠프,1.4,0.274,48.0
A0036,2025-09-22,석사,0.4,0.582,54.0
A0037,2025-05-04,학사,1.3,0.664,100.0
A0038,2025-03-14,학사,4.0,0.612,125.0
A0039,2025-03-11,학사,0.2,0.755,109.0
A0040,2025-04-21,,1.6,0.539,329.0
A0041,2025-06-23,석사,2.4,0.512,68.0
A0042,2025-09-15,비전공 부트캠프,3.1,0.547,109.0
A0043,2025-08-16,전문학사,0.4,0.664,38.0
A0044,2025-06-06,학사,3.4,0.488,68.0
A0045,2025-04-27,비전공 부트캠프,3.1,0.943,145.0
A0046,2025-10-09,비전공 부트캠프,1.2,0.171,261.0
A0047,2025-02-28,학사,2.0,0.425,105.0
A0048,2025-10-18,석사,6.6,0.417,67.0
A0049,2025-06-14,학사,0.6,0.593,207.0
A0050,2025-04-13,비전공 부트캠프,1.8,0.159,76.0
A0051,2025-05-18,학사,0.2,0.593,124.0
A0052,2025-02-25,비전공 부트캠프,2.9,0.567,55.0
A0053,2025-01-19,비전공 부트캠프,3.9,0.579,99.0
A0054,2025-01-23,비전공 부트캠프,2.6,0.533,123.0
A0055,2025-10-29,석사,0.6,0.302,65.0
A0056,2025-04-04,학사,1.6,0.493,65.0
A0057,2025-03-26,비전공 부트캠프,3.9,0.198,98.0
A0058,2025-08-02,학사,1.2,0.376,45.0
A0059,2025-03-27,,1.4,0.628,27.0
A0060,2025-05-14,학사,0.7,0.276,206.0
A0061,2025-10-18,학사,2.3,0.507,205.0
A0062,2025-10-30,학사,3.0,0.506,178.0
A0063,2025-02-26,학사,2.5,0.301,28.0
A0064,2025-03-17,학사,1.5,0.421,169.0
A0065,2025-01-02,전문학사,3.1,0.571,109.0
A0066,2025-09-18,학사,0.6,0.517,22.0
A0067,2025-05-11,비전공 부트캠프,0.4,0.342,104.0
A0068,2025-09-16,전문학사,1.7,0.819,199.0
A0069,2025-03-03,학사,4.3,0.569,105.0
A0070,2025-11-30,학사,0.8,0.394,122.0
A0071,2025-10-13,전문학사,0.0,0.417,66.0
A0072,2025-08-22,,1.1,0.386,63.0
A0073,2025-01-07,학사,0.7,0.411,61.0
A0074,2025-11-23,학사,2.4,0.495,29.0
A0075,2025-05-04,학사,4.8,0.416,245.0
A0076,2025-10-29,석사,0.9,0.473,205.0
A0077,2025-10-23,학사,1.5,0.291,224.0
A0078,2025-09-23,비전공 부트캠프,0.6,0.43,64.0
A0079,2025-10-17,학사,0.4,0.58,82.0
A0080,2025-06-02,학사,2.4,0.645,53.0
A0081,2025-09-11,학사,2.0,0.385,236.0
A0082,2025-10-02,비전공 부트캠프,0.3,0.459,57.0
A0083,2025-07-25,학사,4.2,0.453,76.0
A0084,2025-01-15,학사,3.2,0.898,137.0
A0085,2025-11-16,학사,1.2,0.586,164.0
A0086,2025-06-24,학사,2.3,0.461,170.0
A0087,2025-06-21,전문학사,0.1,0.596,27.0
A0088,2025-04-22,학사,2.5,0.56,238.0
A0089,2025-07-25,학사,4.1,0.321,155.0
A0090,2025-10-13,비전공 부트캠프,0.4,0.516,244.0
A0091,2025-06-14,학사,0.8,0.318,58.0
A0092,2025-03-04,학사,0.3,0.412,32.0
A0093,2025-02-08,학사,0.4,0.697,233.0
A0094,2025-01-25,학사,0.4,0.578,85.0
A0095,2025-08-31,학사,1.6,0.036,319.0
A0096,2025-03-08,,1.1,0.577,77.0
A0097,2025-09-24,학사,0.1,0.433,88.0
A0098,2025-04-06,비전공 부트캠프,1.6,0.444,50.0
A0099,2025-11-28,전문학사,2.4,0.36,69.0
A0100,2025-04-22,학사,0.5,0.445,96.0
A0101,2025-07-05,학사,0.8,0.49,79.0
A0102,2025-11-19,학사,4.1,0.26,41.0
A0103,2025-06-20,학사,0.7,0.423,69.0
A0104,2025-10-24,비전공 부트캠프,1.5,0.499,162.0
A0105,2025-11-07,전문학사,4.3,0.422,36.0
A0106,2025-09-11,학사,1.3,0.456,73.0
A0107,2025-04-06,전문학사,0.7,0.561,177.0
A0108,2025-05-14,석사,1.0,0.498,268.0
A0109,2025-03-29,전문학사,0.7,0.413,76.0
A0110,2025-10-19,비전공 부트캠프,1.6,0.582,329.0
A0111,2025-03-04,학사,1.8,0.544,27.0
