application_id,applicant_id,stage,event_date
J00001,A0001,지원,2025-11-15
J00001,A0001,서류 통과,2025-12-02
J00001,A0001,과제·테스트 통과,2025-12-08
J00002,A0001,지원,2025-12-01
J00003,A0001,지원,2025-12-08
J00004,A0001,지원,2025-12-15
J00005,A0001,지원,2025-12-19
J00006,A0001,지원,2025-12-25
J00007,A0002,지원,2025-09-20
J00008,A0002,지원,2025-10-04
J00009,A0002,지원,2025-10-14
J00010,A0002,지원,2025-10-20
J00011,A0002,지원,2025-11-01
J00012,A0002,지원,2025-11-15
J00013,A0003,지원,2025-11-08
J00014,A0003,지원,2025-11-15
J00015,A0003,지원,2025-11-28
J00016,A0003,지원,2025-12-04
J00016,A0003,서류 통과,2025-12-12
J00017,A0003,지원,2025-12-09
J00018,A0003,지원,2025-12-14
J00019,A0003,지원,2025-12-30
J00020,A0004,지원,2025-05-15
J00021,A0004,지원,2025-05-29
J00021,A0004,서류 통과,2025-06-08
J00022,A0004,지원,2025-06-05
J00022,A0004,서류 통과,2025-06-23
J00022,A0004,과제·테스트 통과,2025-07-05
J00022,A0004,면접 통과,2025-07-17
J00022,A0004,최종 합격,2025-07-26
J00023,A0004,지원,2025-06-16
J00024,A0004,지원,2025-07-02
J00025,A0004,지원,2025-07-17
J00025,A0004,서류 통과,2025-08-02
J00026,A0005,지원,2025-04-28
J00026,A0005,서류 통과,2025-05-19
J00027,A0005,지원,2025-05-06
J00028,A0005,지원,2025-05-20
J00029,A0005,지원,2025-05-30
J00029,A0005,서류 통과,2025-06-07
J00030,A0005,지원,2025-06-13
J00030,A0005,서류 통과,2025-06-24
J00030,A0005,과제·테스트 통과,2025-07-03
J00031,A0005,지원,2025-06-26
J00032,A0005,지원,2025-06-30
J00033,A0005,지원,2025-07-12
J00034,A0005,지원,2025-07-27
J00035,A0005,지원,2025-08-09
J00036,A0005,지원,2025-08-18
J00036,A0005,서류 통과,2025-09-03
J00036,A0005,과제·테스트 통과,2025-09-08
J00036,A0005,면접 통과,2025-09-22
J00037,A0005,지원,2025-08-27
J00037,A0005,서류 통과,2025-09-11
J00038,A0005,지원,2025-09-01
J00039,A0005,지원,2025-09-13
J00040,A0006,지원,2025-03-06
J00041,A0006,지원,2025-03-11
J00042,A0006,지원,2025-03-15
J00043,A0006,지원,2025-03-23
J00044,A0006,지원,2025-03-28
J00045,A0006,지원,2025-04-13
J00046,A0006,지원,2025-04-22
J00047,A0006,지원,2025-04-28
J00048,A0006,지원,2025-05-14
J00049,A0007,지원,2025-05-19
J00050,A0007,지원,2025-05-27
J00050,A0007,서류 통과,2025-06-11
J00050,A0007,과제·테스트 통과,2025-06-16
J00051,A0007,지원,2025-06-07
J00052,A0007,지원,2025-06-16
J00053,A0007,지원,2025-06-25
J00054,A0007,지원,2025-07-11
J00055,A0007,지원,2025-07-26
J00055,A0007,서류 통과,2025-08-05
J00056,A0008,지원,2025-03-03
J00056,A0008,서류 통과,2025-03-24
J00056,A0008,과제·테스트 통과,2025-04-01
