application_id,applicant_id,posting_id,company,role,industry,employment_type,applied_date,fit_score
J00134,A0016,P0123,회사20,Product Analyst,배달/배송,경력,2025-01-01,0.724
J00624,A0065,P0212,회사25,BI Engineer,모바일·APP,신입,2025-01-02,0.517
J02460,A0254,P0070,회사29,Growth Analyst,교육,계약직,2025-01-03,0.657
J03956,A0412,P0145,회사28,Growth Analyst,,신입,2025-01-03,0.366
J01380,A0139,P0148,회사11,DA (Data Analyst),배달/배송,인턴,2025-01-04,0.524
J04519,A0471,P0080,회사19,Growth Analyst,게임,경력,2025-01-04,0.638
J04075,A0424,P0217,회사34,BA (Business Analyst),미디어,전환형 인턴,2025-01-06,0.736
J04257,A0443,P0153,회사23,BA (Business Analyst),교육,경력,2025-01-06,0.02
J03992,A0414,P0128,회사26,Data Scientist,게임,경력,2025-01-06,0.34
J04257,A0443,P0153,회사23,BA (Business Analyst),교육,경력,2025-01-06,0.02
J04384,A0459,P0122,회사21,Product Analyst,,전환형 인턴,2025-01-07,0.433
J00692,A0073,P0190,회사31,Growth Analyst,,전환형 인턴,2025-01-07,0.36
J01605,A0161,P0229,회사18,Data Scientist,배달/배송,계약직,2025-01-07,0.189
J03052,A0318,P0095,회사25,Product Analyst,물류,계약직,2025-01-08,0.637
J00207,A0023,P0044,회사22,BI Engineer,경영 컨설팅,계약직,2025-01-10,0.595
J03957,A0412,P0156,회사22,BA (Business Analyst),헬스케어,계약직,2025-01-10,0.43
J00135,A0016,P0067,회사25,BA (Business Analyst),미디어,전환형 인턴,2025-01-12,0.674
J04520,A0471,P0151,회사11,Data Scientist,게임,신입,2025-01-12,0.683
J00625,A0065,P0112,회사31,BI Engineer,경영 컨설팅,경력,2025-01-12,0.519
J01606,A0161,P0184,회사28,DA (Data Analyst),게임,전환형 인턴,2025-01-12,0.681
J03053,A0318,P0182,회사12,Data Scientist,금융,인턴,2025-01-12,0.507
J04385,A0459,P0030,회사13,DA (Data Analyst),배달/배송,신입,2025-01-13,0.536
J02502,A0260,P0195,회사28,Product Analyst,물류,신입,2025-01-13,0.99
J03993,A0414,P0150,회사04,Growth Analyst,배달/배송,경력,2025-01-13,0.368
J01404,A0141,P0078,회사19,Product Analyst,,경력,2025-01-14,0.162
J04258,A0443,P0009,회사20,BA (Business Analyst),물류,경력,2025-01-14,0.109
J02171,A0222,P0104,회사27,DA (Data Analyst),모바일·APP,신입,2025-01-15,0.204
J00787,A0084,P0050,회사14,BA (Business Analyst),미디어,신입,2025-01-15,0.99
J02694,A0281,P0025,회사29,DA (Data Analyst),리테일,인턴,2025-01-15,0.071
J03468,A0363,P0158,회사07,BA (Business Analyst),금융,신입,2025-01-15,0.404
J01885,A0191,P0114,회사27,Growth Analyst,모바일·APP,전환형 인턴,2025-01-16,0.508
J03054,A0318,P0218,회사15,DA (Data Analyst),미디어,신입,2025-01-17,0.627
J00136,A0016,P0032,회사33,Growth Analyst,,인턴,2025-01-18,0.794
J02461,A0254,P0179,회사26,Product Analyst,금융,계약직,2025-01-18,0.615
J03092,A0322,P0234,회사29,Product Analyst,,인턴,2025-01-18,0.542
J00507,A0053,P0084,회사20,Product Analyst,,경력,2025-01-19,0.246
J03994,A0414,P0077,회사15,BA (Business Analyst),,경력,2025-01-19,0.24
J01381,A0139,P0088,회사01,Product Analyst,경영 컨설팅,신입,2025-01-19,0.566
J00693,A0073,P0178,회사21,Data Scientist,물류,계약직,2025-01-19,0.296
J01725,A0172,P0021,회사14,BI Engineer,경영 컨설팅,신입,2025-01-19,0.401
J03469,A0363,P0190,회사31,Growth Analyst,,전환형 인턴,2025-01-20,0.476
J02164,A0221,P0027,회사15,DA (Data Analyst),물류,신입,2025-01-20,0.738
J02695,A0281,P0007,회사14,BA (Business Analyst),경영 컨설팅,전환형 인턴,2025-01-20,0.102
J01838,A0185,P0063,회사13,DA (Data Analyst),게임,신입,2025-01-21,0.852
