posting_id,company,role,employment_type,industry,has_test,competition
P0001,회사22,Product Analyst,신입,물류,True,0.277
P0002,회사20,Product Analyst,신입,게임,True,0.351
P0003,회사28,BA (Business Analyst),전환형 인턴,교육,True,0.255
P0004,회사19,BA (Business Analyst),신입,교육,False,0.095
P0005,회사11,Growth Analyst,경력,,False,0.375
P0006,회사24,Growth Analyst,신입,물류,True,0.451
P0007,회사14,BA (Business Analyst),전환형 인턴,경영 컨설팅,False,0.403
P0008,회사12,BA (Business Analyst),신입,게임,False,0.712
P0009,회사20,BA (Business Analyst),경력,물류,True,0.262
P0010,회사14,BA (Business Analyst),경력,배달/배송,False,0.234
P0011,회사27,Product Analyst,신입,,False,0.337
P0012,회사16,Growth Analyst,경력,금융,False,0.336
P0013,회사16,Growth Analyst,전환형 인턴,헬스케어,True,0.828
P0014,회사34,BI Engineer,신입,금융,False,0.344
P0015,회사11,Data Scientist,신입,모바일·APP,True,0.564
P0016,회사22,Data Scientist,경력,게임,False,0.244
P0017,회사20,BA (Business Analyst),신입,헬스케어,True,0.435
P0018,회사24,BI Engineer,계약직,리테일,True,0.53
P0019,회사17,Growth Analyst,인턴,모바일·APP,False,0.325
P0020,회사21,Data Scientist,인턴,리테일,True,0.885
P0021,회사14,BI Engineer,신입,경영 컨설팅,False,0.544
P0022,회사29,Data Scientist,신입,,False,0.268
P0023,회사11,Growth Analyst,신입,헬스케어,False,0.361
P0024,회사11,BI Engineer,전환형 인턴,게임,True,0.483
P0025,회사29,DA (Data Analyst),인턴,리테일,False,0.688
P0026,회사26,DA (Data Analyst),신입,금융,True,0.358
P0027,회사15,DA (Data Analyst),신입,물류,False,0.508
P0028,회사11,BI Engineer,경력,모바일·APP,False,0.532
P0029,회사18,Product Analyst,신입,게임,True,0.893
P0030,회사13,DA (Data Analyst),신입,배달/배송,False,0.324
P0031,회사27,BI Engineer,신입,물류,False,0.129
P0032,회사33,Growth Analyst,인턴,,False,0.539
P0033,회사14,BA (Business Analyst),전환형 인턴,금융,True,0.122
P0034,회사05,BA (Business Analyst),인턴,리테일,True,0.753
P0035,회사19,Data Scientist,인턴,물류,False,0.329
P0036,회사31,DA (Data Analyst),경력,,False,0.787
P0037,회사23,BA (Business Analyst),경력,모바일·APP,False,0.206
P0038,회사11,Product Analyst,신입,,False,0.428
P0039,회사23,Product Analyst,인턴,모바일·APP,False,0.643
P0040,회사30,BA (Business Analyst),신입,,False,0.684
P0041,회사33,Product Analyst,경력,헬스케어,False,0.841
P0042,회사19,Data Scientist,경력,헬스케어,False,0.364
P0043,회사12,BI Engineer,인턴,리테일,False,0.201
P0044,회사22,BI Engineer,계약직,경영 컨설팅,True,0.425
P0045,회사11,Product Analyst,인턴,경영 컨설팅,False,0.359
P0046,회사25,Growth Analyst,전환형 인턴,미디어,False,0.255
P0047,회사22,BI Engineer,경력,금융,False,0.447
P0048,회사12,Growth Analyst,신입,교육,False,0.803
P0049,회사30,DA (Data Analyst),계약직,물류,True,0.476
P0050,회사14,BA (Business Analyst),신입,미디어,False,0.673
P0051,회사28,Data Scientist,신입,물류,True,0.349
P0052,회사12,Data Scientist,인턴,교육,True,0.294
P0053,회사31,BA (Business Analyst),경력,헬스케어,False,0.732
P0054,회사11,Growth Analyst,인턴,물류,False,0.687
P0055,회사30,BA (Business Analyst),경력,리테일,True,0.789
P0056,회사20,Growth Analyst,인턴,물류,False,0.858
P0057,회사11,DA (Data Analyst),경력,헬스케어,False,0.623
P0058,회사26,BA (Business Analyst),계약직,경영 컨설팅,True,0.39
P0059,회사23,Product Analyst,신입,물류,True,0.485
P0060,회사23,BI Engineer,신입,물류,False,0.646
P0061,회사11,Growth Analyst,신입,게임,False,0.474
P0062,회사21,Data Scientist,경력,경영 컨설팅,False,0.677
P0063,회사13,DA (Data Analyst),신입,게임,False,0.303
P0064,회사27,Growth Analyst,경력,헬스케어,False,0.185
P0065,회사21,BI Engineer,계약직,모바일·APP,False,0.72
P0066,회사11,Product Analyst,경력,게임,False,0.527
P0067,회사25,BA (Business Analyst),전환형 인턴,미디어,False,0.735
P0068,회사24,BI Engineer,계약직,리테일,False,0.33
P0069,회사34,BI Engineer,계약직,리테일,True,0.443
P0070,회사29,Growth Analyst,계약직,교육,True,0.966
P0071,회사33,Growth Analyst,신입,,True,0.373
P0072,회사32,DA (Data Analyst),인턴,교육,False,0.286
P0073,회사27,BA (Business Analyst),인턴,,True,0.771
P0074,회사20,BI Engineer,신입,배달/배송,True,0.868
P0075,회사10,Product Analyst,신입,교육,True,0.619
P0076,회사24,DA (Data Analyst),신입,헬스케어,True,0.796
P0077,회사15,BA (Business Analyst),경력,,True,0.519
P0078,회사19,Product Analyst,경력,,False,0.36
P0079,회사08,Growth Analyst,신입,게임,False,0.513
P0080,회사19,Growth Analyst,경력,게임,True,0.996
P0081,회사34,DA (Data Analyst),계약직,교육,True,0.335
P0082,회사27,DA (Data Analyst),경력,헬스케어,True,0.646
P0083,회사22,BI Engineer,경력,배달/배송,False,0.268
P0084,회사20,Product Analyst,경력,,True,0.052
P0085,회사26,DA (Data Analyst),경력,물류,False,0.219
P0086,회사18,BI Engineer,경력,교육,False,0.281
P0087,회사03,Product Analyst,신입,헬스케어,True,0.463
P0088,회사01,Product Analyst,신입,경영 컨설팅,True,0.584
P0089,회사19,DA (Data Analyst),신입,모바일·APP,False,0.032
P0090,회사15,DA (Data Analyst),신입,모바일·APP,True,0.597
P0091,회사11,Data Scientist,신입,금융,False,0.357
P0092,회사25,Product Analyst,전환형 인턴,헬스케어,True,0.47
P0093,회사12,DA (Data Analyst),신입,배달/배송,False,0.271
P0094,회사19,BI Engineer,신입,금융,True,0.748
P0095,회사25,Product Analyst,계약직,물류,False,0.762
P0096,회사27,BI Engineer,신입,,False,0.429
P0097,회사23,Growth Analyst,신입,모바일·APP,True,0.327
P0098,회사11,Data Scientist,신입,게임,False,0.114
P0099,회사26,BA (Business Analyst),경력,물류,False,0.66
P0100,회사34,BI Engineer,계약직,헬스케어,True,0.313
P0101,회사18,BA (Business Analyst),신입,,False,0.295
P0102,회사24,BI Engineer,전환형 인턴,리테일,True,0.804
P0103,회사33,DA (Data Analyst),신입,모바일·APP,True,0.529
P0104,회사27,DA (Data Analyst),신입,모바일·APP,False,0.385
P0105,회사31,Product Analyst,경력,모바일·APP,True,0.751
P0106,회사16,Data Scientist,신입,물류,True,0.361
P0107,회사25,BA (Business Analyst),인턴,미디어,False,0.207
P0108,회사14,BA (Business Analyst),경력,교육,False,0.626
P0109,회사32,BA (Business Analyst),전환형 인턴,배달/배송,True,0.508
P0110,회사30,Product Analyst,신입,배달/배송,False,0.627
P0111,회사29,Product Analyst,신입,배달/배송,False,0.598
P0112,회사31,BI Engineer,경력,경영 컨설팅,True,0.635
P0113,회사11,Data Scientist,전환형 인턴,배달/배송,True,0.72
P0114,회사27,Growth Analyst,전환형 인턴,모바일·APP,True,0.22
P0115,회사31,BA (Business Analyst),전환형 인턴,경영 컨설팅,True,0.519
P0116,회사32,BA (Business Analyst),전환형 인턴,금융,True,0.324
P0117,회사19,BI Engineer,신입,,False,0.344
P0118,회사20,BI Engineer,전환형 인턴,미디어,True,0.237
P0119,회사13,Product Analyst,신입,리테일,False,0.465
P0120,회사26,DA (Data Analyst),신입,게임,False,0.691
P0121,회사13,Growth Analyst,신입,금융,False,0.438
P0122,회사21,Product Analyst,전환형 인턴,,True,0.228
P0123,회사20,Product Analyst,경력,배달/배송,True,0.135
P0124,회사18,DA (Data Analyst),경력,,False,0.614
P0125,회사32,DA (Data Analyst),신입,게임,False,0.556
P0126,회사16,Growth Analyst,신입,경영 컨설팅,True,0.66
P0127,회사06,Product Analyst,신입,리테일,False,0.846
P0128,회사26,Data Scientist,경력,게임,False,0.582
P0129,회사17,Growth Analyst,신입,경영 컨설팅,True,0.573
P0130,회사13,Product Analyst,전환형 인턴,물류,False,0.469
P0131,회사24,BI Engineer,경력,미디어,True,0.535
P0132,회사21,DA (Data Analyst),계약직,금융,False,0.533
P0133,회사13,Data Scientist,신입,헬스케어,True,0.39
P0134,회사23,Growth Analyst,전환형 인턴,배달/배송,True,0.471
P0135,회사20,Product Analyst,인턴,,False,0.589
P0136,회사12,Growth Analyst,신입,모바일·APP,False,0.617
P0137,회사23,Product Analyst,신입,모바일·APP,False,0.761
P0138,회사11,BI Engineer,신입,물류,True,0.588
P0139,회사28,Growth Analyst,경력,교육,False,0.643
P0140,회사20,Growth Analyst,경력,모바일·APP,False,0.608
P0141,회사13,BA (Business Analyst),전환형 인턴,헬스케어,True,0.692
P0142,회사15,BI Engineer,경력,교육,True,0.634
P0143,회사23,Product Analyst,인턴,교육,False,0.506
